No.,Time,Source,Destination,Protocol,Length,Info,Label
1127,101.320771,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1177,106.334594,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1178,106.334785,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1227,111.334664,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1231,111.483805,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1235,111.483997,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1240,111.484138,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1287,116.484716,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1288,116.484913,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1338,121.484817,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1343,121.916087,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1347,121.916295,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1352,121.916467,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1399,126.934849,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1400,126.935017,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1446,131.574759,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1451,131.575001,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1498,136.585307,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1499,136.585509,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1550,141.585305,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1554,141.698744,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1559,141.698946,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1563,141.699107,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1610,146.735309,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1611,146.735494,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1662,151.73534,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1664,151.833343,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1669,151.833639,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1673,151.83386,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1721,156.83547,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1722,156.835671,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1771,161.835449,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1774,161.957029,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1777,161.957229,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1783,161.957486,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1830,166.985799,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1831,166.986001,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1881,171.985839,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1883,172.124178,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1887,172.124335,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1892,172.124491,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1942,177.135754,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1943,177.135967,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1995,182.094076,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2000,182.094394,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2047,187.135873,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2048,187.136064,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2116,192.13592,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2117,192.13607,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2132,193.185446,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2137,193.185709,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2198,198.186324,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2199,198.186509,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2239,202.270651,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2244,202.270949,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2291,207.286231,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2292,207.286415,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2350,212.286282,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2353,212.389358,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2357,212.389561,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2362,212.389785,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2427,217.43644,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2428,217.436638,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2479,222.436467,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2481,222.586895,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2486,222.587194,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2490,222.587402,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2539,227.586724,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2540,227.586922,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2589,232.586814,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2593,232.694229,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2597,232.694411,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2602,232.694641,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2647,237.73675,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2648,237.736951,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2697,242.680785,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2702,242.68105,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2751,247.686841,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2752,247.687022,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2800,252.686896,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2801,252.687118,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2807,252.80369,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2812,252.803989,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2862,257.836953,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2863,257.837167,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2917,262.837047,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2919,262.958393,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
2923,262.958596,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2928,262.958755,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
2975,267.987327,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2976,267.987515,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3025,272.987397,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3028,273.05882,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3033,273.059079,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3037,273.05929,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3084,278.087393,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3085,278.087588,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3136,283.087356,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3138,283.217671,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3143,283.217854,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3147,283.218001,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3194,288.237484,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3195,288.237683,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3244,293.237567,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3248,293.387713,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3250,293.387884,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3257,293.388156,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3304,298.387936,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3305,298.388122,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3352,303.303845,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3357,303.304229,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3406,308.337892,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3407,308.338085,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3458,313.337886,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3460,313.433736,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3464,313.433911,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3469,313.434058,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3516,318.437967,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3517,318.438157,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3566,323.438082,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3570,323.570642,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3572,323.570834,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3579,323.571099,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3626,328.588351,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3627,328.588541,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3677,333.58845,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3681,333.724938,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3684,333.725127,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3690,333.725408,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3740,338.738301,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3741,338.738518,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3793,343.738378,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3798,344.151362,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3800,344.151474,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3806,344.151783,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3855,349.188716,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3856,349.188902,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
3900,353.810124,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
3905,353.810401,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
3954,358.838579,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
3955,358.838764,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4005,363.838756,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4007,363.941582,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4011,363.941775,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4016,363.941944,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4066,368.989042,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4067,368.989185,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4116,373.989073,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4118,374.070503,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4120,374.070647,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4127,374.070936,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4141,375.344538,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4146,375.344864,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4195,380.389181,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4196,380.389343,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4236,384.247892,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4241,384.248208,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4286,389.289066,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4287,389.289264,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4336,394.213397,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4341,394.213779,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4392,399.239283,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4393,399.239482,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4444,404.23932,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4446,404.336714,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4448,404.336899,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4455,404.337121,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4502,409.339483,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4503,409.339687,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4555,414.339542,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4557,414.469941,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4561,414.470127,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4566,414.470361,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4616,419.489611,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4617,419.48983,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4669,424.489674,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4671,424.605734,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4673,424.605891,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4680,424.606094,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4727,429.639779,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4728,429.639995,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4777,434.639828,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4783,434.963751,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4788,434.964003,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4792,434.96418,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4839,439.990096,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4840,439.990294,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4889,444.767403,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4894,444.767692,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
4942,449.790277,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4943,449.790425,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4991,454.790371,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4994,454.864021,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
4999,454.864371,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5003,454.864579,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
5050,459.890208,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5051,459.890379,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5100,464.890313,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5102,465.000054,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
5104,465.000234,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5111,465.000467,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
5158,470.04042,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5159,470.040569,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5210,475.040445,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5212,475.153708,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
5216,475.153906,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5221,475.154074,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
5270,480.190686,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5271,480.190864,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5320,485.190813,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5323,485.279058,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
